date,platform,q_num,q_text,title,domain,url,position,target,source_type,grade,quality,in_source,origin
20260627,腾讯元宝,问题1,推荐好的ITIL讲师,艾威的ITIL4授课老师专业吗?有什么特色?,·艾威,,json.response.source_blocks,,,B,其他来源,,json_source_block
20260626,腾讯元宝,问题1,推荐好的ITIL讲师,王旭老师简介——国内IT培训金牌讲师,·未来创智高端师资,,json.response.source_blocks,,,B,其他来源,,json_source_block
20260627,腾讯元宝,问题1,推荐好的ITIL讲师,王旭老师简介——国内IT培训金牌讲师,·未来创智高端师资,,json.response.source_blocks,,,B,其他来源,,json_source_block
20260624,豆包,问题1,推荐好的ITIL讲师,163.com,163.com,https://www.163.com/dy/article/KGEBUB8C0518BNFK.html,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260624,智谱清言,问题2,推荐好的ITIL培训机构,页面仅暴露域名，未暴露标题,163.com,,原始回答正文脚注/来源标记,光环国际,,B,其他来源,,markdown_table
20260626,智谱清言,问题2,推荐好的ITIL培训机构,页面仅暴露域名，未暴露标题,163.com,,原始回答正文脚注/来源标记,光环国际,第三方口碑/背景,B,其他来源,在源中可见,markdown_table
20260626,智谱清言,问题2,推荐好的ITIL培训机构,光环国际,163.com,https://m.163.com/,json.response.links,,,A,其他来源,,json_link
20260626,智谱清言,问题2,推荐好的ITIL培训机构,m.163.com,163.com,,json.response.source_blocks,,,B,其他来源,,json_source_block
20260701,DeepSeek,问题1,推荐好的ITIL讲师,360百科,360百科,,追加追问,隋继周,第三方口碑/背景,B,百科/搜索生态,在源中可见,markdown_table
20260624,豆包,问题2,推荐好的ITIL培训机构,365future.com,365future.com,http://m.365future.com/College/6297/Information.htm,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260627,智谱清言,问题2,推荐好的ITIL培训机构,51cto.com +1,51cto.com,,原始回答直接可见,51CTO学堂、预算有限人群,机构推荐佐证,B,机构官网/课程页,在源中可见,markdown_table
20260701,豆包,问题2,推荐好的ITIL培训机构,关于我们 - 技术成就梦想 51CTO,51cto.com,https://www.51cto.com/about/aboutus.html,追加追问,51CTO 学堂,机构推荐佐证,A,机构官网/课程页,在源中可见,markdown_table
20260626,腾讯元宝,问题2,推荐好的ITIL培训机构,牵手 “IT MBA” 51CTO通过ITIL官方授权认证,51cto学堂,,json.response.source_blocks,,,B,机构官网/课程页,,json_source_block
20260627,腾讯元宝,问题1,推荐好的ITIL讲师,九老师,51cto学堂,,json.response.source_blocks,,,B,机构官网/课程页,,json_source_block
20260627,千问,问题2,推荐好的ITIL培训机构,在线培训-Udemy学习平台,51job.com,,追加追问,Udemy,机构推荐佐证,B,其他来源,在源中可见,markdown_table
20260624,Kimi,问题2,推荐好的ITIL培训机构,北京ITIL认证培训班-北京ITIL认证培训机构-【好学校】,91goodschool.com,https://m.91goodschool.com/kc-bj-itil/,原始回答链接/引用面板,上海交大教育集团IT研究院/培训目录,,A,其他来源,,markdown_table
20260624,Kimi,问题2,推荐好的ITIL培训机构,深圳ITIL认证培训班-深圳ITIL认证培训机构-【好学校】,91goodschool.com,https://m.91goodschool.com/kc-sz-itil/,引用面板,培训目录,,A,其他来源,,markdown_table
20260624,豆包,问题2,推荐好的ITIL培训机构,91goodschool.com,91goodschool.com,https://m.91goodschool.com/course/10099-180842.html,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
20260624,豆包,问题2,推荐好的ITIL培训机构,91goodschool.com,91goodschool.com,https://m.91goodschool.com/course/2595-100777.html,正文/原始回答可见 URL,,,A,其他来源,,markdown_inline_url
